tic,skor,ara60,ever,harga,likuid
PGLI,0.46447028423772607,0.0,9,200.0,32374500.0
ARGO,0.46350129198966405,0.0,9,1170.0,189532750.0
INDO,0.46317829457364346,0.0,2,183.0,5224796250.0
SMRA,0.4631782945736434,0.0,0,278.0,7454812300.0
PYFA,0.4609173126614987,0.0,5,246.0,4530540200.0
ATAP,0.459625322997416,0.0,9,555.0,618020500.0
PSKT,0.4593023255813954,0.0,3,230.0,3340696600.0
HRUM,0.45930232558139533,0.0,0,890.0,15743925000.0
ASJT,0.45801033591731266,0.0,1,161.0,36262550.0
IKAN,0.4560723514211886,0.0,2,88.0,790418500.0
VKTR,0.4554263565891472,0.0,0,785.0,68444073000.0
TAMA,0.4541343669250646,1.0,1,202.0,1709642350.0
PMUI,0.45381136950904394,0.0,0,104.0,296885250.0
MBSS,0.4531653746770026,0.0,4,2900.0,3894987000.0
HEAL,0.4528423772609819,0.0,0,660.0,10088183500.0
PTPW,0.4509043927648579,2.0,2,1160.0,36594000.0
SGRO,0.45058139534883723,1.0,3,4540.0,252353000.0
KOTA,0.4505813953488372,0.0,0,187.0,70157342400.0
AKRA,0.4502583979328165,0.0,1,1470.0,19899209750.0
SAMF,0.4492894056847545,0.0,1,312.0,126550200.0
BBYB,0.4492894056847545,0.0,3,228.0,7181603500.0
FORE,0.4492894056847545,0.0,3,795.0,4072976250.0
IMAS,0.4476744186046511,0.0,3,865.0,156205000.0
RANC,0.44735142118863047,0.0,8,560.0,14234500.0
ENRG,0.44670542635658916,0.0,1,1305.0,105950590000.0
TGKA,0.44670542635658916,0.0,0,5000.0,4226500.0
RIGS,0.44589793281653745,0.0,1,605.0,36605500.0
IRRA,0.44573643410852715,0.0,2,366.0,178040300.0
ISEA,0.44541343669250644,0.0,4,89.0,892487000.0
PNSE,0.4444444444444445,0.0,11,488.0,4446150.0
NAIK,0.4441214470284238,0.0,1,92.0,389660500.0
DOSS,0.4437984496124031,0.0,2,171.0,351861550.0
MPXL,0.4421834625322998,0.0,4,166.0,85568450.0
BSML,0.44218346253229973,0.0,0,555.0,6961235250.0
OMRE,0.44137596899224807,0.0,9,920.0,12480750.0
BOGA,0.44121447028423777,0.0,6,1615.0,23314750.0
ABMM,0.440891472868217,0.0,0,2760.0,1733511000.0
BPII,0.43992248062015504,0.0,1,468.0,12435500.0
UDNG,0.4395994832041344,0.0,0,490.0,4626678750.0
BATR,0.438953488372093,0.0,1,91.0,43154150.0
SCMA,0.438468992248062,0.0,0,184.0,7285472700.0
GEMS,0.437984496124031,0.0,0,7275.0,969428750.0
AMFG,0.43733850129198965,0.0,0,3290.0,24138500.0
JKON,0.43733850129198965,1.0,1,82.0,1348567650.0
ASII,0.437015503875969,0.0,0,4820.0,203803313000.0
ESIP,0.4368540051679587,0.0,4,115.0,1208237500.0
CHEM,0.4363695090439277,0.0,3,64.0,627330050.0
KINO,0.4354005167958656,0.0,0,1380.0,67745000.0
TOTO,0.43410852713178294,0.0,0,242.0,101487500.0
BTON,0.43410852713178294,0.0,1,370.0,6849600.0
ZATA,0.4337855297157623,1.0,7,63.0,3249999100.0
ISSP,0.4328165374677003,0.0,0,410.0,665240400.0
DEWA,0.4318475452196382,0.0,0,370.0,188240439600.0
BMHS,0.42894056847545226,0.0,1,200.0,180244650.0
BESS,0.4289405684754522,0.0,5,920.0,60037250.0
KLBF,0.42829457364341084,0.0,0,760.0,61148402500.0
TRON,0.42764857881136953,0.0,5,102.0,1714463700.0
MKAP,0.4273255813953488,0.0,4,1110.0,41402750.0
ACRO,0.4273255813953488,0.0,2,63.0,323159850.0
MBAP,0.42700258397932817,0.0,0,1695.0,87385750.0
SIMP,0.4257105943152455,0.0,0,625.0,8024329750.0
LPPF,0.42506459948320413,0.0,0,1525.0,2052651750.0
ADRO,0.42312661498708015,0.0,0,2640.0,100524799500.0
