tic,score,vol20,off_lo60,mom20,volsurge,liq,px,r_hari,ara_60h
YUPI,0.3930878552971576,0.0256148732185684,0.10269793150468076,-0.0003508771929828791,0.37131188913871427,65379000.0,1295.0,-0.007662835249042099,2
JSMR,0.39276485788113696,0.01124936134196854,0.0411608501404197,-0.023463023463023203,3.4986687075044673,6494065000.0,2880.0,0.010526315789473717,0
PWON,0.3927648578811369,0.014677513601825207,0.05366146458583465,-0.012710911136107672,1.4157770511064014,9246025700.0,268.0,-0.007407407407407418,0
BBNI,0.3927648578811369,0.01677055505493524,0.0875346058402493,-0.041379408784024796,1.3687529791426225,121218810500.0,3650.0,-0.024064171122994638,0
MPRO,0.39244186046511625,0.02499207945913627,0.5804746680491955,-0.2069703079046442,0.30761958782378523,26445000.0,11675.0,0.006465517241379226,1
LPKR,0.3922803617571059,0.02654915257562059,0.0,-0.15894901144641016,5.253009451724535,8910157050.0,53.0,-0.08620689655172409,0
PNIN,0.3921188630490956,0.009615799679406114,0.013988759740828138,-0.013888888888889062,6.175950509086222,164878750.0,710.0,-0.006993006993006978,0
RICY,0.3921188630490956,0.009940504807750735,0.0848591549295763,-0.025000000000000022,1.9030458457986235,106412150.0,79.0,0.0,0
EURO,0.39179586563307495,0.045619103880255515,0.09811320754717001,-0.12452101212908129,0.571682869366615,548288250.0,1455.0,-0.03322259136212624,0
BOAT,0.3917958656330749,0.015538150528001612,0.24773630343166664,-0.06631977294228975,0.8123557113841384,387006450.0,139.0,0.007246376811594235,0
OMED,0.3911498708010336,0.030900056109108915,0.1745453972309856,-0.06854657267136655,0.36519303078908755,4672850400.0,216.0,0.009345794392523255,0
KRAS,0.39082687338501293,0.026141588464834834,0.12062747926433515,-0.05100015269506786,0.6317219542791939,903011200.0,226.0,-0.025862068965517238,0
JPFA,0.3908268733850129,0.02267577156546397,0.1509175826767939,-0.044043887147335536,0.6061469122813985,33965036500.0,2280.0,-0.017241379310344862,0
CAKK,0.3905038759689922,0.012651027479167715,0.21671007504061546,0.06634819532908742,0.19175054592753044,56738300.0,164.0,0.01863354037267073,0
ELPI,0.3900193798449612,0.04511694127164204,0.0,-0.10941532936819665,1.1193485432990535,737608500.0,620.0,-0.03875968992248058,0
